Name,Features,Price,Quantity
Outshine Korean Glass Skin Serum - Brightening & Dark Spot C... ₹781 44% Off Regular price ₹1395. Discounted price ₹781. 44% Off. ( 691 ),AD,1395,
Minimalist 3% Tranexamic Acid Face Serum For Melasma- Acne S... ₹617 5% Off Regular price ₹649. Discounted price ₹617. 5% Off.  Enjoy Complimentary Gift  ( 10098 ),,649,
Minimalist Daily Skincare Routine For Oily & Acne Prone Skin... ₹1481 10% Off Regular price ₹1646. Discounted price ₹1481. 10% Off.  Enjoy Complimentary Gift  ( 454144 ),,1646,
Minimalist 10% Niacinamide Face Serum With Matmarine + Zinc ... ₹237 5% Off Regular price ₹249. Discounted price ₹237. 5% Off.  Enjoy Complimentary Gift  ( 123159 ),,249,
"Olay Regenerist Micro Sculpting Serum, Plump & Bouncy Skin, ... ₹1619 10% Off Regular price ₹1799. Discounted price ₹1619. 10% Off. ( 1677 )",AD,1799,
The Ordinary Ascorbyl Glucoside Solution 12% (Vitamin C) ₹1450 ( 3143 ),,1450,
Foxtale 12% Niacinamide Clarifying Serum Acne & Blemish Cont... ₹516 20% Off Regular price ₹645. Discounted price ₹516. 20% Off.  Offer Available  ( 4419 ),,645,2 Sizes
COSRX The 6 Peptide Skin Booster Serum ₹1845 10% Off Regular price ₹2050. Discounted price ₹1845. 10% Off. ( 1000 ),,2050,
Medicube PDRN Pink Collagen Exosome Shot 7500 Serum ₹2660 5% Off Regular price ₹2800. Discounted price ₹2660. 5% Off. ( 3 ),"AD, NEW",2800,
The Derma Co 2% Salicylic Acid Face Serum ₹439 12% Off Regular price ₹499. Discounted price ₹439. 12% Off. ( 28273 ),,499,
Beauty of Joseon Ginseng Essence Water ₹1570  Enjoy Free Gift  ( 5182 ),,1570,2 Sizes
The Ordinary Retinol 0.5% In Squalane ₹875 ( 11036 ),,875,
Charlotte Tilbury Charlotte's Magic Serum Crystal Elixir ₹8850  Enjoy Complimentary Gift  ( 1274 ),AD,8850,3 Sizes
"Deconstruct 5% Niacinamide Face Serum with Alpha Arbutin, Fo... ₹559 20% Off Regular price ₹699. Discounted price ₹559. 20% Off. ( 8234 )",,699,2 Sizes
BEST IN BEAUTY SKIN1004 Madagascar Centella Serum ₹899 10% Off Regular price ₹999. Discounted price ₹899. 10% Off. ( 498 ),,999,3 Sizes
Pilgrim 25% AHA + 2% BHA + 5% PHA Peeling Solution Face Seru... ₹484 25% Off Regular price ₹645. Discounted price ₹484. 25% Off. ( 10078 ),,645,3 Sizes
"Copper Peptide Serum for Collagen Boost, Hydration, Firmness... ₹1840  Extra 10% Off  ( 694 )",AD,1840,2 Sizes
Minimalist 10% Multi Peptide Face Serum For Anti Aging & Col... ₹664 5% Off Regular price ₹699. Discounted price ₹664. 5% Off.  Enjoy Complimentary Gift  ( 8263 ),,699,
Eucerin Anti-Pigment Dark Circle Eye Corrector Serum With Th... ₹2155 10% Off Regular price ₹2394. Discounted price ₹2155. 10% Off.  Extra 10% Off  ( 92 ),,2394,
Garnier Vitamin C + Face Serum for Skin Brightening with 2% ... ₹284 5% Off Regular price ₹299. Discounted price ₹284. 5% Off. ( 42414 ),,299,3 Sizes
"Dot & Key Blueberry Hydrate 12% Barrier Boost Serum, With 7 ... ₹497 17% Off Regular price ₹599. Discounted price ₹497. 17% Off. ( 803 )",AD,599,
Hyphen Advanced De-Pigmentation Serum ₹617 5% Off Regular price ₹649. Discounted price ₹617. 5% Off. ( 414 ),,649,
Anua Pdrn Hyaluronic Acid Capsule 100 Serum with Collagen Fo... ₹1890 10% Off Regular price ₹2100. Discounted price ₹1890. 10% Off. ( 80 ),,2100,
Lakme Absolute Perfect Radiance Serum With 7% Pure Niacinami... ₹276 15% Off Regular price ₹325. Discounted price ₹276. 15% Off. ( 24402 ),,325,2 Sizes
Dot & Key 10% Glycolic Watermelon Super Glow Face Serum For ... ₹383 15% Off Regular price ₹450. Discounted price ₹383. 15% Off. ( 4733 ),AD,450,2 Sizes
Plum 5% Niacinamide Face Serum With Amino Acid - Fades Blemi... ₹509 15% Off Regular price ₹599. Discounted price ₹509. 15% Off.  Enjoy Free Gift  ( 9902 ),,599,
Pilgrim 10% Niacinamide Face Serum For Acne Marks ₹487 25% Off Regular price ₹649. Discounted price ₹487. 25% Off. ( 2026 ),,649,2 Sizes
Caudalie Vinoperfect Brightening Dark Spot Serum ₹6250  Offer Available  ( 764 ),,6250,
Forest Essentials Varuna Exceptional Repair Serum Anti-Agein... ₹7500  Enjoy Complimentary Gift  ( 26 ),AD,7500,2 Sizes
"Dot & Key 10% Niacinamide + Cica Face Serum For Oily, Acne P... ₹479 20% Off Regular price ₹599. Discounted price ₹479. 20% Off. ( 7201 )",,599,2 Sizes
"Deconstruct Niacinamide & Alpha Arbutin Serum, Fades Dark Sp... ₹559 20% Off Regular price ₹699. Discounted price ₹559. 20% Off. ( 8234 )",,699,
Asaya Advanced Dark Spot Pigmentation Face Serum for Men & W... ₹639 20% Off Regular price ₹799. Discounted price ₹639. 20% Off. ( 1941 ),,799,2 Sizes
"Olay Retinol 24 Max Anti Ageing Night Serum, Visibly Reduces... ₹1539 30% Off Regular price ₹2199. Discounted price ₹1539. 30% Off. ( 7125 )",AD,2199,
The Derma Co 2% Kojic Acid Face Serum for Dark spots reducti... ₹249 ( 4936 ),,249,
The Ordinary Multi Peptide + HA Serum ₹1700 ( 2198 ),,1700,
Plix 2% Alpha Arbutin Pineapple Serum for Pigmentation & Dar... ₹385 33% Off Regular price ₹575. Discounted price ₹385. 33% Off.  Enjoy Complimentary Gift  ( 13012 ),,575,2 Sizes
Medicube Collagen Glow Booster Serum ₹1900 5% Off Regular price ₹2000. Discounted price ₹1900. 5% Off. ( 4 ),"AD, NEW",2000,
Minimalist Retinol 0.6% Anti Aging Mid-Strength Formula For ... ₹617 5% Off Regular price ₹649. Discounted price ₹617. 5% Off.  Enjoy Complimentary Gift  ( 3350 ),,649,
The Ordinary GF 15% Solution ₹1550 ( 198 ),,1550,
"Celimax The Vita-A Retinol Shot Tightening Serum, For Anti-A... ₹2399 ( 64 )",,2399,
The Pink Foundry Acne & Oil Control Intense Face Serum with ... ₹599 20% Off Regular price ₹749. Discounted price ₹599. 20% Off.  Extra 5% Off  ( 235 ),AD,749,
"Numbuzin No.5 Vitamin Concentrated Serum, Korean Serum with ... ₹1701 10% Off Regular price ₹1890. Discounted price ₹1701. 10% Off. ( 211 )",,1890,
